symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
DRREDDY,30,supply,2026-01-01 09:45:00,Explosive,UNTESTED,1.04
IEX,15,supply,2025-12-26 13:45:00,Strong,UNTESTED,1.04
ADANIPORTS,15,demand,2026-01-01 09:45:00,Strong,UNTESTED,1.04
DRREDDY,15,supply,2026-01-01 09:30:00,Explosive,UNTESTED,1.04
RCF,15,demand,2026-01-02 11:30:00,Strong,UNTESTED,1.04
MAXHEALTH,30,demand,2026-01-01 10:45:00,Moderate,"TESTED, NOT BROKEN",1.05
SAREGAMA,15,demand,2026-01-02 13:45:00,Explosive,"TESTED, NOT BROKEN",1.06
BAJAJFINSV,15,demand,2025-12-31 10:45:00,Strong,"TESTED, NOT BROKEN",1.06
POONAWALLA,15,demand,2025-12-30 11:30:00,Explosive,UNTESTED,1.06
KPITTECH,30,supply,2025-12-30 11:45:00,Strong,"TESTED, NOT BROKEN",1.09
BALKRISIND,15,demand,2026-01-02 10:45:00,Explosive,UNTESTED,1.1
SWIGGY,15,supply,2026-01-01 12:45:00,Explosive,"TESTED, NOT BROKEN",1.11
INDHOTEL,30,demand,2026-01-02 12:15:00,Explosive,UNTESTED,1.12
LAURUSLABS,15,demand,2025-12-31 12:00:00,Explosive,UNTESTED,1.12
LAURUSLABS,30,demand,2025-12-31 12:15:00,Explosive,UNTESTED,1.12
ICICIBANK,30,demand,2026-01-02 09:45:00,Explosive,"TESTED, NOT BROKEN",1.13
UNIONBANK,30,demand,2026-01-02 12:15:00,Explosive,UNTESTED,1.14
RELIANCE,30,demand,2026-01-02 09:45:00,Explosive,UNTESTED,1.18
VMM,15,demand,2025-12-30 11:45:00,Explosive,"TESTED, NOT BROKEN",1.19
PGEL,15,supply,2026-01-02 12:30:00,Strong,UNTESTED,1.2
BEL,30,demand,2026-01-02 09:45:00,Explosive,UNTESTED,1.21
UPL,30,demand,2026-01-01 14:15:00,Strong,UNTESTED,1.23
COFORGE,15,demand,2026-01-02 12:15:00,Moderate,UNTESTED,1.23
CANBK,15,demand,2026-01-02 11:15:00,Strong,UNTESTED,1.24
WOCKPHARMA,15,supply,2026-01-02 12:30:00,Strong,UNTESTED,1.26
UPL,15,demand,2026-01-01 14:15:00,Explosive,UNTESTED,1.27
KOTAKBANK,15,supply,2026-01-02 14:00:00,Strong,UNTESTED,1.27
LICHSGFIN,15,demand,2026-01-02 09:45:00,Strong,UNTESTED,1.29
ADANIENT,15,demand,2026-01-01 09:45:00,Explosive,UNTESTED,1.29
NBCC,30,demand,2025-12-26 13:45:00,Strong,"TESTED, NOT BROKEN",1.33
RCF,15,demand,2026-01-02 11:00:00,Strong,UNTESTED,1.35
KFINTECH,30,demand,2026-01-01 14:45:00,Moderate,UNTESTED,1.37
INOXWIND,15,demand,2026-01-02 11:00:00,Moderate,UNTESTED,1.39
INOXWIND,30,demand,2026-01-02 11:15:00,Moderate,UNTESTED,1.39
PRESTIGE,15,demand,2026-01-01 11:15:00,Strong,UNTESTED,1.4
ANANTRAJ,15,demand,2026-01-02 14:30:00,Explosive,"TESTED, NOT BROKEN",1.42
TATASTEEL,15,demand,2025-12-31 11:45:00,Strong,"TESTED, NOT BROKEN",1.42
BAJAJFINSV,15,demand,2025-12-30 15:15:00,Explosive,"TESTED, NOT BROKEN",1.42
APOLLOTYRE,30,supply,2025-12-29 12:45:00,Strong,UNTESTED,1.44
APOLLOTYRE,15,supply,2025-12-29 12:45:00,Explosive,UNTESTED,1.44
NATCOPHARM,30,supply,2025-12-29 09:45:00,Explosive,"TESTED, NOT BROKEN",1.45
GVT&D,15,demand,2025-12-30 10:30:00,Explosive,UNTESTED,1.47
ABCAPITAL,15,demand,2025-12-31 10:00:00,Strong,"TESTED, NOT BROKEN",1.48
MANAPPURAM,15,demand,2025-12-31 14:45:00,Explosive,"TESTED, NOT BROKEN",1.48
BAJFINANCE,30,demand,2026-01-02 09:45:00,Explosive,UNTESTED,1.49
BAJFINANCE,15,demand,2026-01-02 09:30:00,Explosive,"TESTED, NOT BROKEN",1.49
GAIL,30,demand,2026-01-02 10:45:00,Strong,UNTESTED,1.49
PAYTM,30,demand,2026-01-02 13:15:00,Strong,UNTESTED,1.49
SAMMAANCAP,15,demand,2026-01-02 11:00:00,Moderate,"TESTED, NOT BROKEN",1.5
KFINTECH,15,demand,2026-01-01 14:30:00,Strong,UNTESTED,1.51
EXIDEIND,15,demand,2026-01-01 14:15:00,Strong,"TESTED, NOT BROKEN",1.52
JMFINANCIL,30,demand,2026-01-02 11:15:00,Explosive,UNTESTED,1.53
JMFINANCIL,15,demand,2026-01-02 11:00:00,Strong,"TESTED, NOT BROKEN",1.53
JUBLFOOD,30,supply,2025-12-30 14:15:00,Moderate,UNTESTED,1.54
