symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
BIOCON,125,supply,2026-01-01 11:20:00,Strong,"TESTED, NOT BROKEN",0.86
COLPAL,25,demand,2026-01-01 09:15:00,Moderate,UNTESTED,0.87
BSE,25,demand,2026-01-02 10:05:00,Moderate,UNTESTED,0.87
NATCOPHARM,25,supply,2026-01-01 09:40:00,Explosive,"TESTED, NOT BROKEN",0.89
MOTHERSON,25,demand,2026-01-01 10:05:00,Strong,"TESTED, NOT BROKEN",0.92
CUB,125,demand,2025-12-23 11:20:00,Moderate,UNTESTED,0.93
DRREDDY,75,supply,2026-01-01 10:30:00,Explosive,UNTESTED,0.93
DRREDDY,125,supply,2026-01-01 11:20:00,Explosive,UNTESTED,0.93
BALKRISIND,125,supply,2025-12-18 11:20:00,Strong,UNTESTED,0.94
DRREDDY,25,supply,2026-01-01 09:40:00,Explosive,UNTESTED,0.94
IIFL,25,demand,2026-01-02 11:45:00,Moderate,"TESTED, NOT BROKEN",0.95
LTF,25,demand,2026-01-01 10:30:00,Strong,"TESTED, NOT BROKEN",0.95
WELSPUNLIV,125,supply,2025-12-26 11:20:00,Moderate,UNTESTED,0.97
AMBUJACEM,25,demand,2026-01-02 11:45:00,Moderate,UNTESTED,0.98
BHARTIARTL,75,supply,2025-12-26 09:15:00,Moderate,UNTESTED,0.98
TITAGARH,75,supply,2026-01-01 09:15:00,Explosive,"TESTED, NOT BROKEN",1.0
TECHM,125,supply,2025-12-26 11:20:00,Strong,UNTESTED,1.01
POWERGRID,25,demand,2026-01-02 10:55:00,Strong,UNTESTED,1.02
BSE,125,supply,2025-12-10 11:20:00,Strong,UNTESTED,1.04
SHRIRAMFIN,125,demand,2026-01-01 11:20:00,Moderate,UNTESTED,1.05
SBICARD,75,demand,2026-01-02 11:45:00,Moderate,UNTESTED,1.05
UNIONBANK,25,demand,2026-01-02 12:10:00,Strong,UNTESTED,1.06
HINDZINC,125,supply,2025-12-29 13:25:00,Explosive,UNTESTED,1.06
COFORGE,25,demand,2026-01-02 12:35:00,Strong,UNTESTED,1.07
TIINDIA,75,supply,2026-01-01 13:00:00,Moderate,"TESTED, NOT BROKEN",1.07
AFCONS,75,demand,2026-01-01 14:15:00,Moderate,"TESTED, NOT BROKEN",1.07
ICICIBANK,25,demand,2026-01-02 09:40:00,Explosive,"TESTED, NOT BROKEN",1.1
KFINTECH,75,demand,2026-01-02 09:15:00,Explosive,"TESTED, NOT BROKEN",1.1
BALKRISIND,25,demand,2026-01-02 10:55:00,Explosive,UNTESTED,1.1
AUBANK,25,demand,2025-12-30 10:05:00,Moderate,UNTESTED,1.11
IRCON,75,supply,2025-12-29 09:15:00,Moderate,"TESTED, NOT BROKEN",1.11
INDUSTOWER,25,demand,2026-01-02 10:05:00,Strong,UNTESTED,1.11
ENGINERSIN,125,supply,2025-12-29 11:20:00,Moderate,"TESTED, NOT BROKEN",1.12
LAURUSLABS,25,demand,2025-12-31 12:10:00,Explosive,UNTESTED,1.12
VMM,25,demand,2025-12-30 11:45:00,Strong,"TESTED, NOT BROKEN",1.12
LODHA,125,demand,2026-01-02 11:20:00,Moderate,"TESTED, NOT BROKEN",1.13
LODHA,75,demand,2026-01-02 10:30:00,Strong,"TESTED, NOT BROKEN",1.13
INFY,125,demand,2026-01-01 11:20:00,Moderate,UNTESTED,1.13
KPITTECH,25,supply,2025-12-30 11:20:00,Moderate,"TESTED, NOT BROKEN",1.14
GRSE,125,supply,2025-12-30 11:20:00,Strong,"TESTED, NOT BROKEN",1.16
AFCONS,125,supply,2025-12-17 09:15:00,Moderate,"TESTED, NOT BROKEN",1.16
NBCC,25,supply,2025-12-29 11:20:00,Moderate,"TESTED, NOT BROKEN",1.17
NYKAA,25,supply,2026-01-02 10:30:00,Moderate,UNTESTED,1.18
GRSE,75,demand,2025-12-30 14:15:00,Moderate,"TESTED, NOT BROKEN",1.18
CROMPTON,25,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",1.18
BIOCON,75,supply,2026-01-01 10:30:00,Moderate,"TESTED, NOT BROKEN",1.19
HAVELLS,25,demand,2026-01-02 10:05:00,Strong,UNTESTED,1.19
IEX,75,demand,2025-12-31 10:30:00,Strong,"TESTED, NOT BROKEN",1.2
TECHM,75,demand,2025-12-18 11:45:00,Moderate,"TESTED, NOT BROKEN",1.21
SUNPHARMA,75,supply,2025-12-24 10:30:00,Strong,UNTESTED,1.24
SUNPHARMA,125,supply,2025-12-24 11:20:00,Strong,UNTESTED,1.24
WOCKPHARMA,25,supply,2026-01-02 12:35:00,Moderate,UNTESTED,1.26
ETERNAL,75,demand,2026-01-01 10:30:00,Strong,UNTESTED,1.27
BEL,75,demand,2026-01-02 09:15:00,Moderate,UNTESTED,1.28
BALKRISIND,75,demand,2026-01-02 10:30:00,Moderate,UNTESTED,1.29
